date,open,high,low,close,volume
2005/08/08,10052.1,10128.7,10045.2,10115.5,99931000
2005/08/09,10074.4,10145.6,10062.6,10145.6,124942000
2005/08/10,10150.2,10229.2,10146.7,10229.2,163649000
2005/08/11,10189.2,10226.5,10156,10222.1,4300000
2005/08/12,10253.4,10253.7,10169.8,10187.2,107336000
2005/08/15,10163.8,10206.2,10162.5,10184.9,37718000
2005/08/16,10211.8,10223.8,10105.7,10139.8,77965000
2005/08/17,10110.4,10124,10043.2,10094.1,125918000
2005/08/18,10093.5,10107.5,10029.4,10037.9,128285000
2005/08/19,10062.7,10136.5,10055.5,10132.9,116543000
2005/08/22,10149,10183,10147.8,10174.8,64210000
2005/08/23,10158.9,10160.2,10104.1,10104.1,91914000
2005/08/24,10082.3,10096,10032.9,10078.9,120465000
2005/08/25,10026.6,10030.5,9975.5,9983.02,126557000
2005/08/26,9988.07,10014.4,9903.4,9904.08,117887000
2005/08/29,9862.04,9946.1,9823.8,9938.05,124569000
2005/08/30,9939.04,9977.9,9922.3,9922.03,133764000
2005/08/31,9916.07,10019.7,9906.9,10008.9,194580000
2005/09/01,10049.9,10143.3,10048.4,10134.1,160975000
2005/09/02,10119.9,10184.8,10113.8,10145,140316000
2005/09/05,10157.2,10250.9,10148.7,10250.9,114918000
2005/09/06,10254,10377.5,10253.6,10373.2,234151000
2005/09/07,10391.8,10421.1,10377.3,10408,165268000
2005/09/08,10418.5,10445.5,10371.7,10441.2,146600000
2005/09/09,10450.5,10494.2,10444.2,10486.6,108080000
2005/09/12,10519.9,10532.5,10437.1,10494.7,134854000
2005/09/13,10479.6,10514.2,10421.9,10429.8,151278000
2005/09/14,10433.4,10483.7,10421.2,10459.1,142439000
2005/09/15,10451.7,10492.1,10432.3,10475.7,144664000
2005/09/16,10472.5,10560.6,10467.6,10524.3,82762000
2005/09/19,10511.1,10561.7,10475.9,10536,122940000
2005/09/20,10557,10583.4,10537,10583.4,130841000
2005/09/21,10542.5,10567.5,10494.6,10500.3,160718000
2005/09/22,10486.5,10572.5,10464.4,10536.6,213797000
2005/09/23,10558.4,10642.8,10542.1,10631.2,192114000
2005/09/26,10671,10741,10664.2,10724.9,242506000
2005/09/27,10714.4,10725.9,10669.1,10678.5,249244000
2005/09/28,10711.7,10818.4,10708.4,10801.7,233745000
2005/09/29,10818.5,10832.9,10751.9,10780.6,173471000
2005/09/30,10834.3,10851.4,10793.6,10813.9,172230000
2005/10/03,10835.8,10880.7,10815.4,10880.7,170259000
2005/10/04,10883.9,10919.2,10824.9,10919.2,153077000
2005/10/05,10843.5,10874.3,10822.7,10823.1,226911000
2005/10/06,10723.3,10761.9,10680.7,10750.9,272771000
2005/10/07,10742.5,10765.3,10698.1,10732.4,193268000
2005/10/10,10754.1,10819.8,10754,10800.6,136917000
2005/10/11,10795.2,10866.2,10795.2,10810.2,152119000
