ticker,pay_date,ex_date,gross,net,type
tef,2009/11/11,2009/11/12,0.5,,Cash
tef,2009/05/12,2009/05/13,0.5,,Cash
tef,2008/11/12,2008/11/13,0.41,,Cash
tef,2008/05/13,2008/05/14,0.4,,Cash
tef,2007/11/14,2007/11/15,0.35,,Cash
tef,2007/05/17,2007/05/18,0.3,,Cash
tef,2006/11/10,2006/11/11,0.3,,Cash
tef,2006/05/12,2006/05/13,0.25,,Cash
tef,2005/11/11,2005/11/12,0.27,,Cash
tef,2005/06/20,2005/06/21,0.5416,,"Allocation of shares"
tef,2005/05/13,2005/05/14,0.23,,Cash
tef,2004/11/12,2004/11/13,0.2,,Cash
tef,2004/05/14,2004/05/15,0.2,,Cash
tef,2003/10/21,2003/10/22,0.085,,"Allocation of shares of Antena 3 and-or cash payment"
tef,2003/10/15,2003/10/16,0.12,,"Remuneración en efectivo"
tef,2003/07/03,2003/07/04,0.13,,Cash
tef,2003/06/18,2003/06/19,0.208,,"Cancellation of shares"
tef,2003/03/11,2003/03/12,0.163,,"Allocation of shares"
tef,2003/01/28,2003/01/29,0.1788,,"Allocation of shares"
tef,2002/03/22,2002/03/23,0.2532,,"Allocation of shares"
tef,2002/01/25,2002/01/26,0.2676,,"Allocation of shares"
tef,2001/03/06,2001/03/07,0.36046,,"Allocation of shares"
tef,2001/01/05,2001/01/06,0.34388,,"Allocation of shares"
tef,1999/11/05,1999/11/06,0.29788,,"Allocation of shares"
tef,1999/04/20,1999/04/21,0.078,,"Allocation of shares"
tef,1998/12/30,1998/12/31,0.0713,,"Allocation of shares"
tef,1998/05/18,1998/05/19,0.0769,,Cash
tef,1998/01/19,1998/01/20,0.0517,,Cash
tef,1997/06/03,1997/06/04,0.0454,,Cash
tef,1997/01/20,1997/01/21,0.03645,,Cash
rep,2017/06/12,2017/12/06,0.43,0.34,Complementario
rep,2016/12/19,2016/12/19,0.34,0.26,Cuenta
rep,2016/06/16,2016/06/16,0.29,0.23,Complementario
rep,2015/12/19,2015/12/19,0.47,0.38,Cuenta
rep,2015/06/18,2015/06/18,0.48,0.39,Complementario
rep,2014/12/22,2014/12/22,0.47,0.37,Cuenta
rep,2014/06/19,2014/06/19,0.48,0.38,Complementario
rep,2014/06/06,2014/06/06,1,0.81,Extraordinario
rep,2013/06/20,2013/06/20,0.04,0.03,Cuenta
rep,2012/01/10,2012/10/01,0.58,0.46,Cuenta
rep,2011/07/07,2011/07/07,0.52,0.43,Complementario
rep,2011/01/13,2011/01/13,0.52,0.43,Cuenta
rep,2010/07/08,2010/08/07,0.42,0.34,Complementario
rep,2009/12/22,2009/12/22,0.42,0.35,Cuenta
rep,2009/07/09,2009/09/07,0.52,0.43,Complementario
rep,2009/01/15,2009/01/15,0.52,0.43,Cuenta
rep,2008/07/09,2008/09/07,0.5,0.41,Complementario
rep,2008/01/15,2008/01/15,0.5,0.41,Cuenta
rep,2007/07/05,2007/05/07,0.36,0.3,Cuenta
rep,2007/11/01,2007/11/01,0.36,0.3,Cuenta
rep,2006/07/05,2006/05/07,0.3,0.26,Complementario
rep,2006/01/12,2006/12/01,0.3,0.26,Cuenta
rep,2005/07/05,2005/05/07,0.25,0.21,Complementario
rep,2005/01/11,2005/11/01,0.25,0.21,Cuenta
rep,2004/07/01,2004/01/07,0.2,0.17,Complementario
rep,2004/01/15,2004/01/15,0.2,0.17,Cuenta
rep,2003/07/15,2003/07/15,0.16,0.14,Complementario
rep,2003/01/22,2003/01/22,0.15,0.13,Cuenta
rep,2002/01/11,2002/11/01,0.21,0.17,Cuenta
rep,2001/07/12,2001/12/07,0.26,0.21,Complementario
rep,2001/01/11,2001/11/01,0.19,0.15,Cuenta
rep,2000/07/13,2000/07/13,0.26,0.21,Complementario
rep,2000/01/13,2000/01/13,0.16,0.13,Cuenta
rep,1999/07/01,1999/01/07,0.083,0.063,Complementario
rep,1999/01/14,1999/01/14,0.193,0.143,Cuenta
rep,1998/07/14,1998/07/14,0.223,0.167,Complementario
rep,1998/01/09,1998/09/01,0.177,0.133,Cuenta
rep,1997/07/09,1997/09/07,0.203,0.153,Complementario
rep,1997/01/09,1997/09/01,0.157,0.12,Cuenta
rep,1996/07/05,1996/05/07,0.197,0.147,Complementario
rep,1996/01/08,1996/08/01,0.147,0.11,Cuenta
rep,1995/07/06,1995/06/07,0.163,0.123,Complementario
rep,1995/01/05,1995/05/01,0.117,0.0867,Cuenta
